,DRUG,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,DAY,NIGHT,MIND,STOOL,SENSATION,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,DISEASE,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES
90,CalcareaFlorica,CracklingNoiseHead,,,,,,,,,,,HeadScalpBloodTumor,,,,,bloodtumorNewinfantUlcerScalpCallousHardEdge,,,,,,,,,,,callusHardEdgeUlcerHardExcre,,,,,,,,,,,,
91,CalcareaIodata,RidingAgainstColdWind,,,,,,,,,,,noseEarPolyp,,CatarrahWorseRootSneezPolypNoseEar,,Polyp NoseAndEar,,,,,,,,,,,,,,,,,,,,,,,,
92,CalcareaPhosphorica,WithAbdominalFlatulence,,,,,,,,changWeather,,,AbdoFlatulenceSutureRegionPuberty,,,,defectiveHearing,nearSuturePubertyFontanelOpenCranialBoneSoft,,,,,,,,,,,headhotRootHairSmart,,,,,,,,,,,,
93,CalcareaSilicata,,,,,,,,,,headcoldEspVertex,,,,catarrahPostNaresThickYellowHardCrustDischarge,,,,,,CornealExudate,,,,,,,,,,,,,,,,,,,,
94,CalcareaSulphurica,,,,,,,,,,,,,,,,,ScaldHeadChildrenPurulentDischargeYellowCrust,,,,,,,,,,,,,,,,,,,,,,,
95,CalundulaOfficinalis,exteemNrvousTearing,,nervousFrightenedWeightOnBrain,,,,,,,,,brainGlandRtSideNeckNervous,,,,,subMaxilaryGlandSwellRtSideNeckPainTouch,,,,,,,,,,,,,,,,,,,,,,,
96,Camphora,,ThrobbSynchronusWithPulse,bBeatingPainInCerebellum,,,fleetStitchTempRegOrbit,,,,tendeUnconciousFeelasifHeWouldDie,,vertigoNoseTongueOccPulse,,coldPinchSeezInflue,,,coldSweat,,,fleetStitchTempRegionOrbits,,,,,,,,,,coldFlabbyTrembling,,,,,,,,,,
97,canchalagua,congested,,,,,,,,,,,,,,,buzzing,,,,burning,,,,,,headFeelasifBound,,feeltight,,,,,,,,,,,,
98,CannabisIndica,uremicFlatulenceMigrain,ThrobbWeight,shockThroBrainAloeCoca,,,,,,,,,,ShakeHeadMigraineExciteLoqacity,,,,feelAsifTopHeadOpeningShutasifcalvariumBeingLifted,,,,,,,,,,,,,,,,,,,,,,,
99,CannabisSativa,,,lectophobia,,,,,,,SensationDroppingWaterOnHead,,,,pressureRootOfNose,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Cantharis,,,BurnSensationAsifBoilingWaterInBrain,,,,,,,vertigoWorseInOpenAir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Capsicum,BurstingWorseCough,,,,,,,,,,,,,,facehotRedCheekFaceRedThoughColdAsafaetida,,,,,,,,,,,,,,,,,,,,,,,,,
102,CarboAnimalis,,,,,,,,,,vertigoFollowNosebleed,,noseCheekHearingEyeRushBloodLip,,swollenTipBlueSmallTumorOnit,bluishCheekLips,hearingConfusedCannotTellDirectionOfSound,asifHeadBlownToPieces,,,asifSomethinglayAboveEyesSocouldnotLookup,,,,RushBloodWithConfusion,,,,,,,,,,,,,,,,
103,CarboVegetabilis,AcheFromAnyOverindulgence,,,,,,,,hairfallScalpItchWarmBed,WithnauseaAndTinniyis,,indulgenceHairScalpHeadFace,,,PimplesOnForeheadFace,,hairsoreFallScalpItchheadheavy,,,,,,,,,feelheavyConstrictHatpressLikeHeavyWeight,,hairfallSoreItchGetWarmInBed,,,,,,,,,,,,
104,CarbolicumAcidum,headacheBetterGreenTeaSmoking,,disinclinedMentalWork,,,,,,betterGreenTEAwhileSmoking,,,RtOrbitRtEye,,,,,tightFeelCompressRubberBandGelsMahonia,,,orbitalNeurolgiaOverRtEye,,,,DisinclinedMentalWork,,feelheavyWeightHatAsifCompressRubberBand,,,,,,,,,,,,,,
105,CarboneumOxygenisatum,heavinessHead,,cerebrelCongestHallucinateVisionHearingTouch,,,stickPain,,,,,,,,,,,HallucinateInclinationToTurnInCircle,,,,,,,inclinationTurnCircleHallucinateVisionHearTouch,,,,,,,,,,,,,,,,
106,CarboneumSulphuratum,HeadacheAndDizzy,,,,,,,,,HeadacheAndDizzy,,earLipMouthTongue,,,ulcerLips,earFeelObstructed,,,,,,,,,,AcheAsFromTightCap,,,,AnasthaesiaMouthTongue,,,,,,,,,,
107,CardusMarianus,dullHeavyStupidFoulTongue,,,,,,,,,withTendencyFallForward,,FallEyeTongueNose,,noebleed,,,,,,ContaractEyebrowsBurnPressure,,,,DullStupidheavyFoulTongue,,ContractFeelAboveEyeBrow,,,,,,,,,,,,,,
108,Carlsbad,,,,,,AchesSwollenTempVeinSangunaria,,,betterMotionOpenAir,,,TempVeins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Causticum,,,feelEmptySpaceBetweenFHandBrain,painRtFrontalEminence,,,,,,,,,,,,,,,,,,,,,,FeelEmptySpaceBetweenFHandBrain,,,,,,,,,,,,,,
110,CedronSimarubaFerroginea,wholeBodyNumb,,,painAcrossFHworseWorkOnBlack,,painTempToTempAcrossEye,,,,,,FHeyeTempWholebodynumb,,,painwholeRtSideComeAt9am,RoaringEarsLikeCinchona,whole bodySeemsNumbWithHeadache,,,,,,,,,wholeBodyNumbWithHeadache,,,,,,,,,,,,,,
111,CenchrisContortrix,,,,LtFrontEminenceLtSideTeeth,,,,,,,,,,,,,,PainLtFrontEminenceLtSideTeeth,,AchingItcheyeSwellAroundEyes,,,,ForgetAbscentAlternateMood,,,,,,,,,,,,,,,,
112,CereusBonplandii,,painThroGlobeofEyeAndOrbitONOScedron,painAcrossBrainFromLtToRt,,,painAlongRtMalarBoneRunToTemple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Chamomilla,oneHalfBrainThrobbing,,ThrobbOnehalfBrain,hotCalmySweatAndScalp,,,,,,,,onehalfbrainScalpFH,InclinedBendHeadBackward,,,,,,,,,,,,,,,hotCalmySweatFHandScalp,,,,,,,,,,,,
114,ChelidoniumMajus,RtSideNumb,IcycoldOccFromNapNeckHeavyLead,heavyalethorgicDrowsyMarkedWithNumbness,,,,,,,withHepaticDisturbFallFarwardInclination,,,,,neurolgiaRtCheekRtEyeRtEar,RtSideheadachedownBehindEarShoulderBlade,excesiveLacrymationprecededByPinInLiver,,,neurolgeRtEarCheekBoneWithExcesiveLacrymation,,,,,,,,,,,,,,,,,,,,
115,ChenopoiGlauciAphis,,,seemsSwashedHitherAndThither,,,,,,acheWorseMotion,,,brainNostrilsEarFaceRtOrbitTeeth,,CoryzaBurnBiteInNostril,yellow,noiseEarAsofCannon,,acheRelivedWarmSweatExtendEatTempleCheekBonne,,RtOrbitNeurolgiaWithLacrymationProfuse,,,,SadAcheWorseMotion,,,,,,,,,,,,,,,,
116,ChimaphiliaUmbellata,,,,painLtFrontalProtuberence,,,,,,,,Fheye,,,,,HaloAboutLight,,,LidItchStabPainLtEyeLacrymation,,,,,,,,,,,,,,,,,,,,
117,ChininumArsenicosum,dullHaevyFrontOccipital,DullHEeavyAndFrontal,TiredFeelFullThrobbAnxietyIrritable,DullHeavyFrontalAndOccipital,,,,,,WorseLookUp,,Fhoccipit,,,,,,,,,,,,,,DartingPainRunUpIntoHead,,,,,,,,,,,,,,
118,ChininumSulhuricum,FHandTempIWorseLtSide,,,FrontalTempleIncreaseNoon,,FrontalTempleIncreaseNoon,,,worseNoon,vertigoPulsation,,FHoccipitEye,,,,,inabiltyStandAmaurosisMalarialOriginFallInStreet,,,,,,,,,,,,,,,,,,,,,,,
119,Chionanthus,,,,DullFrontalacheRootnoseOverEyeThroTemp,,throTempFrontalAche,,,worseSoopMotionJar,,,,,painOverRootNoseFrontaHeadacheThroTemple,,,,,,yellowConjunvtivaPainOverEye,,,,,,,,,,,,,,,,,,,,
120,Chloralum,MorningHeadache,worseFHalsoOCConMotion,,worseForeHeadAlsoInOccMotion,,feelHotBandDrawnTempleToTemple,,,betterOpenAir,,,,,,,hearsVoices,,,,,,,,,,,,,,,,,,,,,,,,
121,Chloroformum,,,deleriumExciteViolencePredominate,,,,,,,,,,,,convulsiveMomentFaceMuscleExtermities,,headDrawDownuponShoulder,,,opendClosedRapidlyPupilContracted,,,,,,,,,,,,,,,,,,,,
122,CicutaVirosa,,,cerebroSpinalMeningitis,,,,,,headSympReliveFlatusEmission,withGastrolgiaMuscularSpasm,,CerebroSpineGastricMuscleBrainFlatus,turnedTwistedOneSide,,,,suddenViolentShockThroughHead,,,StaresPersistantlyAtObject,,,,convulsionFromConcussionBrain,,violentShockThroughHead,,ThickYellowScabOnHead,,,,,,,,,,,,
123,CimexAcanthia,headacheByDrinking,,,painUnderRtFrontalBone,,,,,,,,,,,,,wouldLikeToTearEverythingToPieces,,,,,,,greatRageVehementBeginningChillyStage,,,,,,,,,,,,,,,,
124,CimicifugaRacemosa,shootThrobAfterWorry,,AfterWorryShootThrobHeadacheUtReflex,,,,,,,,,mindEarUt,,,,TinnitusSensitiveLeastNoise,wavySensationOrOpeningShuttingSenseBrain,,,,,,,brainFeelTooLargePainOverStudyUtReflex,,pressingOutwardPain,,,,,,,,,,,,,,
125,Cina,AlternateWithPainAbdomen,,,,,,,,PainbetterStoopingHeadAbdomen,,,AbdomenEye,,,,,,,,painHeadByUsingEYE,,,,,,,,,,,,,,,,,,,,
126,Cinchona,IntenceThroobHeadAndCarotid,,SensAsifBrainBalanceToAndFroStrikeAganistSkullGreatPain,,,AchesOpenAirFromTempleToTemple,,SpasmodicAcheInVertexAsifBruisedInSidesHead,RelivedFromPressureWarmRoom,DizzyWhenWalk,,,,,FlushedAfterHaemorrhageSexualExcessLossVitalFluid,,WorseContactCurrentAirStepping,,,,,,,,,,,sensitveWorseCombAirStepping,,,,,,,,,,,,
127,CinnabarisMercuriouSulphuratus,CongestionHead,,,,,,,,,,,,,,PurpleRed,,,,,,,,,,,,,,,,,,,,,,,,,
128,ClematisErecta,,EruptionOccAtBaseHairMoisPustularSensitiveItch,ConfusedFeelBetterOpenAir,,,BoringPainInTempls,,,,,,,,,,,,,,,,,,,,,,EruptionOcciputBaseAirPustulesSensitiveItch,,,,,,,,,,,,
129,Cobaltum,AcheBendFarward,,,,,,,,WorseBendFarward,,,,,,,,,,,,,,,,,,,ItchHairyAndBeard,,,,,,,,,,,,
130,Coca,preceedByFlashLightAndHighAltitude,shockComeFromOcciputWithVertigo,,likeBandAcrossForehead,,,,,,HeadacheWithVertigoPreceededFlashOfLight,,,,,,noise,FainFitClimbMountain,,,diplopia,,,,,,,,,,fissured,,,,,,,,,,
131,Cocaina,RoaringAndNoisesInHead,,,,,,,,,,,EarEyeSensation,,,,hearingGreatlyIncreased,,,,pupilDilated,,,,,,throbbAndBurstEensation,,,,,,,,,,,,,,
132,CoccienellaSeptempunctata,periodicalAttackFrontalNeurolgia,AcheTempToOcciput,,PainFHoverRtEyeSensTouchSuperiorMolar,,AcheTempleToOcciput,,,betterSleep,,,FhOccTempTeethEyeMolarface,,,RushBloodToFace,,,throbbColdSensationTeethMouth,,CannotOpenEyesDuringParaoxysm,,,,,,painWorseFromBrightObject,,,,,,,,,,,,,,
133,Cocculus,CarriageRidingCannotLyeBackHead,AndNapeAndWorseLyeOnBack,,,,,,,worseLyeOnBack,,,ridinSittinggocciNapePupil,,,,,openAndShutSensInOccTrembeHead,,,painEyeAsifTornOutOfHeadPupilContract,,,,,,trembleHead,,,,,,,,,,,,,,
134,CoccusCacti,WorseLyeOnBackBetterHeadHeigh,SubOcciputSoreWorseAfterSleepExertion,,,,,,,,,,BackheadEyeSubocciutSleepMrning,,,,,SensFBbetweenUpperLidAndEyeball,,,DullPainRtEyeMorningDistressCindersLdgeInEye,,,,,,,,,,,,,,,,,,,,
135,CochleariaArmoracia,,,anxietyDrivenToDespairPain,pressingPainAsifFrontalBoneWouldFallOut,,,,,,,violentVomitWithHeadache,FrontalBoneVomitHearing,,,,impairedHearing,,,,,,,,thinkDifficult,,,,,,,,,,,,,,,,
136,Codeinum,,painOcciputToBackNeck,,,,,,,,,,,,,SkinFaceScalpSoreAfterNeurolgia,,,,,,,,,,,,,ScalpFaceskinSoreAfterNeurolgia,,,,,,,,,,,,
137,CoffeaCruda,TightPainWorseNoiseSmellNarcotic,,AsifBrainTornToPiecesAndAsifNailDrivenHead,,,,,,WorseOpenAir,,,,,,,SensitiveHearing,,,,,,,,,,,,,,,,,,,,,,,,
138,Colchicum,ChieflyFrontalTemporalOcciput,occiputAndNapeNeckWorseAfternonEvening,,ChieflyFrontalAndTemporal,,ChieflyFrontalAndTemporal,,,WorseAfternoonEvening,,,FrontaTempOccipNapeneck,,,,,ChieflyHeadacheFrontTempOCCIworseAfternoonEvening,,,,,,,,,,,,,,,,,,,,,,,
139,CollinsoniaCanadensis,ChronicCatarrahDullFrontal,,,DullFrontalHeadacheSuppressedHaemorrhoid,,,,,,,,haemorrhoidCatarrahTongue,,ChronicCatarrahDullHeadacheFrontal,,,,,,,,,,,,,,,,yellowCoatedBitterColocynthBryonia,,,,,,,,,,
140,Colocynthis,LateralCuttingHeadacheWith,,,frontalWorseStoopLyeBackAndMoveEyeLid,,,,,,VertigoTurnHeadLeft,WithNauseaVomitigWithLateralHeadache,LatheadVomitFrontScalpVertigo,,,,,painBetterPressureHeatBurnDiggRendingTear,,,,,,,,,,,withSorenessScalp,,,,,,,,,,,,
141,Conium,StupifyWithNauseaAndVomitMucus,DullPainOnRisingMorning,,,,TightBothTempleCompressedWorseAfterMeal,,ScorchedFeelnTop,,lyingTurnSidesInBedShkehead,,templeTurnEyeHeadBodyOcci,,,,,vertigoLyingTurnShakeheadNoiseConverseOthersEspTowardLeft,,,,,,,,,WithfeelAsFrigenbodyUnderSkull,,,,,,,,,,,,,,
142,ConvallariaMajalis,DullWorseAscendHawking,,dullIntelectGrivesHystericalManifest,,,,,,,,,HeadScalpMind,,,,,,,,,,,,,,,,SensitiveIrritable,,,,,,,,,,,,
143,Copiva,,painOcciput ,,FHpassesToOcciAndBackWithTrobWithRtSideAndMotion,,,,,,,,OcciFHearScalpBack,,,,sensitiveToSharpSounds,,,,,,,,,,ExcessiveSensitiveness,,Sensitive ,,,,,,,,,,,,
144,Corallium,,,,DeepSeatedFHwithSeverPainBackEyeballs,,,,ViolentPainAsifParietalBoneForcedApartWorseStoop,painAggByBreathColdAirNose,,,parietalFHeyeballsNose,,breathingColdairThroughNose,,,,,,jeadacheSeverpainBackEyeballs,,,,,,,,,,,,,,,,,,,,
145,Crataegus,nervousBcakheadNeck,,ApprehensiveDespondent,,,,,,,,,mindNervousBackNeckEyeNose,,nasalDischrges,,,VeryNervousIrritableWithPainBackHeadNeck,,,conjuctivalIrritationNasalDischarge,,,,MentalDullConjunctivalIrritateNasalDischarges,,,,,,,,,,,,,,,,
146,CrocusSativa,throbbPulsateDuringClimacteric,,,,,,,,WorseDuringMenses,,,ClimatericMensesThrobbPulsation,,,,,throbbPulsateDuringClimactericWorseDuringMenses,,,,,,,,,,DuringClimactericAndDuringMenses,,,,,,,,,,,,,
147,CrotalusHorridus,MustWalkOnTipToeToAvoidJarring,dullHeavyRtSideOcciPainRtEye,,,,,,,,withWeaknessTrembling,,RTocciRtEyeHeartLyingLt,,,,,,,,OcciPainRtSideAndRtEye,,,,,,,,,,,,,,headacheWithPainInHeartLyeOnLeftSide,,,,,,
148,CrotonTiglium,,,,preesingPainFHespOrbits,,,,,,,,ForeheadOrbits,,,,,,,,preesPainFHespOrbits,,,,,,,,,,,,,,,,,,,,
149,CuprumAceticum,,,seemsVoideInclineGapCryLossConcious,ViolentThrobbLancinatePainLtSideBrowAuge,,NeurlgiaFHtempleHeavyBurnStingStitch,,,,,,FheadTempLtBrowTongueMind,,,,,headReelsWhenHeighCeieledRoom,,,LtSideBrowAgue,,,,,,,,,,ConstantProtrudeAndRetractionLachases,,,,,,,,,,
150,CuprumMetallicum,BruisedPainInBrainAndEyes,,mallaciousMoroseUseNotIntendedWords,,,,,,,giddyManyAilmentHeadFallOnChestFarward,,meningitisBrainGiddy,,,,,emptyFeelPurpleSwellHeadWithConvulsion,,,bruisedPainEyeAndBrainTurnMenengitis,,,,fearEmptyFeelMallaciousMorose,,AsifWaterPouredOnHead,,,,,,,,,,,,,,
151,Curare,lancinatePainAllOverHead,,BrainFeelFullFluid,,,,,,,,,headHairBrain,headDrawnBackward,,,,,,,,,,,,,,,hairfall,,,,,,,,,,,,
152,Cyclamen,onesideHeadache,,depressionWeepDesireTobeAlone,,,,,,WorseOpenAir,thingsTurnCircleBetterWarmroom,,onesideHeadEarEyesNose,,sneezWithITCHinEars,,frequentSneezWithSneezEars,,,,AcheMorningFlickeBeforeEyesSneezItchEar,,,,terrorConscienceGrivesDutyNeglect,,,,,,,,,,,,,,,,
153,Cypripedium,elderlypeopleChild,,,,,,,,,,,childnightWakeElderlyPeople,,,,,headaceElderlyAtClimactericChildCryNightOnWakeLaughAnndPlay,,,,,OnWakeLaughAndPlay,childCryAtNight,,,,,,,,,,,,,,,,,
154,DaphneIndica,HeatInHead,,,,,,,heatInHeadEspInVertex,,,,,,,,,feelAsifSkullWouldBurstOrSeparatedFromBody,,,,,,,,,foulSmellPtyalismHot,,,,CoatedOneSideOnlyRHUSTOX,,,,,,,,,,
155,Digitalis,heavynessAsifFallBack,,,sharpShootPainExtNoseDrinkColdWaterIceCream,,,,,,WalkRisingCardiacHepaticAffection,,noseSleepTongueLiverCardiacFront,,frontalPainExtendToNose,bluish,,,,,,,,,confuseFullnessAndNoiseInHead,,heavinessFallbackCrackSoundSleep,,,,blueTongueAndLips,,cracklingSoundsDuringNap,,,,,,,,
156,DiascoreaVillosa,,,,,,dullPainBothTempleBetterPressure,,,betterPressureWorseAfterwards,,,,,,,,,,,,,,,,,buzzingInHead,,,,,,,,,,,,,,
157,Drosera,,,,,,,,,,WalkOpenairInclineFallLeftSide,,,,,ColdnessLeftHalfFaceWithStingPainAndDryHeatRtHalf,,,,,,,,,,,,,,,,,,,,,,,,,
158,Duboisia,,,,,,,,,,,,,,,,,,,,impossibleStandEyesShutTnendToFallBackward,,,,,,,,,,,,,,,,,,,,
159,Dulcamara,,occPainAssendFromNapeneck,headacheRelivedByConversationRejectThingAskedFor,,,,,,backHeadChillyHeavyAcheColdWeather,,,occiScalpMind,,,,,,,,,,,,mentalConfusion,,buzInHead,,ringwormThickbrownCrustBleedOnScratch,,,,,,,,,,,,
160,EchinaceaRudbeckia,AchesPeculiarPeriodicalFlushFace,,confusedDepressed,,,,,,,dizzyProfoundProstration,,,,,FlushFaceExtendToNeck,,,,,,,,,,,,,,,,,,,,,,,,,
161,ElapsCorallinus,FullnessHeadViolentHeadache,FromFHtoOCCIfirstOneEyeThenOther,,FHtoOCCIweightAndPainFH,,,,,,tendencyFallForward,,FHocciEyesEarVertigo,,,,painEars,,,,headacheFHtoOcciFirstOneEyeThenOther,,,,,,,,,,,,,,,,,,,,
162,EpiphegusOrobanche,deviateFromOrdenaryPursuits,,nerveTireMentalPhysicalExertPreceedsByHunger,,,pressPainTempWithoutInwardWorseLeftSide,,,,,,exertMentalPhysiqTempTongueSpitSaliva,,,,,,,,,,,,byMentalPhysicalExertPreceedByHunger,,,,,,viscidSalivaConstantInclineSpit,,,,,,,,,,
163,Eriodictyon,,pressureOutwardWorseOcciput,,,,,,,,DizzyIntoxicated,,mouthThroatNoseEarsocciDizzy,,coryzaWithDizzyAndSneez,,painInEars,,,,,,,,,,,,,,foulMouthMorning,,,burningThroat,,,,,,,
164,EucalyptusGlobulus,dullCongestiveHeadache,,exhilarationDesireExercise,,,,,,,,,excerciseNoseEyeThroatBrain,,coryzaSoreThroat,,,,,,smartBurn,,,,,,,,,,,,,,,,,,,,
165,eugeniaJambos,worseLyeRtSide,,talkative,,,,,,,,,eye,,,,,asifBoardLyingRightSide,,,hotLacrymation,,,,,,,,,,,,,,,,,,,,
166,EuonymusAtropurpurea,BilliousHeadache,,,heavyFrontalSoreTiredFeel,,,,,,obscureVisionGatricDerangeWithAlbuminaria,,,,,,,visionObscureAndGastricAssociatAlbuminari,,,PainRtEyeExtBackHeadHAoverBrows,,,,,billiousHeadaceConstipation,,,soreTiredBruisedFeel,,billiousHeadacheCoatedBadTasteConstipation,,,,,,,,,,
167,EupatoriumPerfoliatum,thrbbingPainPeriodical,painAfterLyingDownWithSenseWeight,,,,,,TopAndBackPainSoreEyeBall,,SenseFallLeft,bile,,,,,,,,,,,,,,,pressureAsifCapOfLeadPressedWholeSkull,,,,,EveryThirdAndSeventhDay,,,,,,,,,
168,EupatoriumPurpureum,leftSidedWithVertigo,painLtShoulderToOcciput,,,,,,,beginMrningWorseAfternoonEveningColdAir,LtSideHeadacheWithVertigo,,occiVertigMornEveAfternoon,,,,,,,,,,beginMorningWorseAfternoonEvening,,,,,,,,,,,,,,,,,,
169,Euphorbium,violentPassiveHeadache,,AcuteMania,,,,,,,,,maniaPassiveHeadache,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Euphrasia,CatarrhalBurstingAndDazzling,,,,,,,,,,,,,catarrhalProfuseNaselAndEyeDischarge,,,,,,burstingheadacheWithDazzlingEye,,,,,,,,,,,,,,,,,,,,
171,Eupion,,,,pailfullPulsationInForehead,,,,stitchFromVertexDownLimbIntoAbdoAndGenitalsVerexHeat,,everythingTurnRoundSitUpBed,,vertexLimbAbdoGenitalFH,,,,,sorrPainFULLspotsOnHead,,,,,,,,,,,,,,,,,,,,,,,
172,Fagopyrum,painDeepUpwardPressure,occiHeadache,depressedIrritableCerebralHyperaemia,,,,,,,,,occiEyesEarsNeckDeephead,headHotBetterBendBackWithTiredNeck,,,itchinEyesEarsAndAroundEyesEars,BurstingPainCerebralHypraemia,,,itchEarEyesInAndAround,,,,InabilityStudyOrRemember,,,,,,,,,,,CerebralHyperaemia,,,,,
173,FerrumMet,stingHammerPulsateCongestive,painBackHeadWithRoaringNeck,,,,,,,,seeFlowWater,,occiEarsMensesHairTeethNeckExtermVertigo,,,,ringing BeforeMenses,,painExtenTeethWithColdExtermities,,,,,,,,,,painfullMustTakeDownHair,,,,,,,,,,,,
174,FerrumPhos,SoreToTouchColdNoiseJar,,,,,,,,headacheBetterColdApplication,vertigo,,bloodRushThrobbSore,,,,,illEffectsSunHeatRushBloodToHead,,,,,,,,,throbbing sensation,,,,,,,,,,,,,,
