DRUG,DISEASE,GLANDS,OCCIPUT,EXTERMITIES,LIMBS,MUSCLES,BONES,VEINS,ABDOMEN,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,BACK,LOWER LIMBS,PELVIS,SCIATICA,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,ASSOCIATED SYMPTOMS,PAINS,SENSATIONS,,WALK,PAIN,BETTER,WORSE,NEUROLGIA,MIND,AXILLAE,DAY,NIGHT,PARALYSIS,,
Abrotanum,,,,,,,,,,,,,,,,"pain shoulders, arms, wrists and ankles",,,,,,,pricking coldness fingers feet,,,,,,,,,,,,legs greatly emaciated,,,,,joints stiff and lame,,painfull contration limbs,,,,,,,,,,,,,,,
Acetic Acid,emaciation,,,,,,,,,,,,,,,,,,,,,,,,,,edema feet legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AconitumNapellus,,,,,,,,,,,,,,,,icy cold and insensible hands feet,arms feel lame bruised heavy numb,,,,,both hands of hypothenar eminences bright red,,,,,,,,hip joint thigh feel lame especially after lying down,sensation asif water trickled down thigh,"knees unsteady,  disposition  foot to turn",,,,,"cold feets ,hot hands",,,"rhematic inflamation joints worse night,red shinig swelling sensitive",weak and lax ligaments of all joints,pain down left arm,painless crackling all joints,numbness tingling shooting pains,,,,,,,,,,,,,
Actea Spicata,"rheumatic pains in small joints, wrists, fingers, ankles, toes",,,,,,,,,,,,,,,,lame feeling in arms,,,"wrist swelling, red, worse any motion",,paralytic weakness in hands,,,tearing pain in loins,,,,,,,pain in knees,,,,,,,,swelling of joints from slight fatigue,,sudden lassitude or lack of energy after talking eating,,,,,,,,,,,,,,,
Adonis Vernalis,,,,,,,,,,,,,,,,,,,,,,,,,,Aching in nape. Spine stiff aching edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus Hippocastanum,,,,aching and soreness in limbs,,,,,,,,,,,in left acromion process with shooting down arms,,,,,,,"hands and feet swelling, and red after washing,feelfull",finger tips numb,,,,,,,,,,,,,,when walking feet turn under,,"soles feel sore, tired, swell",,,,,,,,,,,,,,,,,,
Aethusa Cynapium,,,,,,,,,,,,,,,,,,,,,,,finger and thumb clenched,,,,weakness of lower extermities,,,,,,,,,,,,,,,violent spasms. Squinting of eyes downward,,numbness hands and feet,,,,,,,,,,,,,
Agaricus Muscarius,neurolgia locomotor ataxia or in coordinate movements,,,,,,,,,,,,,,,,paralytic pain in left arm followed palpitation,,,,,,,,weakness in loins,,paralysis of lower limbs with spasmodic condition of arms,,,pain over hips,,,pain in leg or shin-bone or tibia,tearing painful contraction in the calves,,,itching of toes and feet as if frozen,,cramps in soles feet,,,numbness of legs on crossing them,,"stiffness all over, trembling",,uncertain gait or sequence foot movement,,,,,,,,,,,
Allium Cepa,,,,limbs especially arms feel sore and tired,,,,,,,,,,,,,,,,,,,painful affection figers about nails,,,,,,,,,,,,,ulcers on heel,bad effects from getting feet wet,,,lame joints,,,,,,,,,,neurolgia of stump,,,,,,,
Aloe,,,,lameness in all limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soles pain when walking,drawing pains in joints,,,,,,,,,,,,,,,,,
Alumen,,,,constricted feeling around limbs,,weakness all muscles especially arms and legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumina,,,,,,,,,,,spinal degeneration and paralysis lower limbs,,pain in shoulder and upper arm,,,,"pain in arm and fingers, as if hot iron penetrated",,,,,,,"gnawing beneath finger, nails brittle",,,,,,,,,legs feel asleep especially when sitting with leg crossed,,,heels feel numb,,,"soles tender, pain on stepping, feel soft swelling",,,"inability walk with eyes, excpt when eyes are open or in daytime",,arm feel paralyzed,,staggers or unsteady on walking,,,,,,,,,,,
Alumina Silicata,,,,"heaviness, jerking, numbness, aching and pains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambra Grisea,,,,,,,,,,,,,,,,,,,,,,"cramps in hands, fingers, worse grasping anything",,,,,,,,,,,cramps in legs,,,,,,,,,,,,,,,,,,,,,,,,
Ammonium Carb,felons in beginning,,,,,,,"hands cold and blue, distended veins",,,,,,,,,,,,,,,fingers swell when arm hanging down,,,,,,,,,,cramps in calves and soles,,"tearing in ankle and bones of feet,better when warm in bed",heel painful on standing,,big toe painful and swollen,,,,"panaritium, deep-seated perioesteal pain",,,inclination to stretch limbs,,,tearing in joints relived by heat of bed,,,,,,,,,
Ammonium Muriaticum,,,,,,,,,,,,,,,,,,,,,,,pain from ulceration finger tips,,,,,,"sciatica, worse sitting, better lying",,contraction hamstring tendons,,,,,ulcerative pain in heels,pain in feet during menses,shooting tearing in tips fingers and toes,,,,offensive sweaty feet,,,,,,,,neurolgia in amputated limbs,,,,,,,
Amyl Nitrosum,,,,,,,,veins of hands dilated,,,,,,,,,,,,,,,pulsation felt in finger tips,,,,,,,,,,,,,,,,,,,,,constant stretching for hours,,,,,,,,,,,,,
Anacardium,,,,,,,,,,,,,,,,,,,,,,,fingers swollen with vesicular eruption ,,,,,pressure as from plug in glutei,,,,knees feel paralyzed or bandaged,,cramps in calves,,,,,,,,,,,,,,,,neurolgia in thumb,,,,,,,
Anagallis,rheumatic and gouty pains,,,,,,,,,,,,pain in shoulder and arm,,,,,,,,,,cramp in ball of thumbs and fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angustura Vera,,,,,,stiffness tension of muscles and joints,,,,,,,,,,,arms tired and heavy,,,,,,coldness of fingers,,,,,,,,carries long bones,pain in knees,,,,,,,,cracking in joints,,,,,,pain in limbs on walking,,,,,,,,,,,
Antimonium Crudum,inflamed corns,,,,,twitching of muscles,,,,,,,,,,,jerking in arms,,,,,horny wart on hands and soles,arthritic pain in fingers,nails brittle grow out of shape,,,,,,,,,,,,pain in heels,"feet very tender, covered with large horny places",,,,,weakness and shaking of hands in writing with offensive flatulence,,,,,,,,,,,,,,,
Apis Mellifica,"edematous, synovitis, felon on beginning",,,,,,,,,,,hives with intolerable itching,,,,,,,,,,numbness of hands and tip of fingers,,,,rhematic pain in back and limbs,,,,,,"knees swollen, shiny, sensitive, sore with stinging pain",,,,,feet swollen and stiff,,,,,,,"feels too large, tired,  bruised feeling",,,,,,,,,,,,,
Apcynum Androsaemifolium,,,,,,,,,,,,,,,,,,,,,,swelling of hands and feet,,,,,,,,,,,,,,,,"pain in toes and  violent tingling cramps in soles, ",profuse sweat with much violent heat in soles,pain in joints,,,,,,,,,,,,,,,,,
Aragallus Lamberti,,,,weakness of limbs,,cramps of muscle on front of leg while walking,,,,pain in left sciatic nerve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranea Diadema,,,,bone-pain in extermities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in os calcis,,,,,,,,"sensation swelling, and parts going to sleep",,,,,,,,,,,,,
Argemone Mexicana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left knee stiff and painful,,,,,feet swollen,,,,,,,,,,,,,,,,,,,,
Argentum Nitricum,post-dipthertic paralysis,,,,,,,,,,,,,,,,numbness of arms,,,,,,,,,,,,,,,,,rigidity of calves,,,,,,,,"paralysis, with mental and abdominal symptoms",,trembling with general debility,,cannot walk with eye closed,,,,,debility in calves especially. Walks and stands unsteady especially when unobserved,,,,,,
Arnica,rheumatism begins low down and works up,,,,,,,,,,,,,,,,,,deathly coldness of forearm,,,,,,,pain in back and limbs as if bruised or beaten,,,,,,,,,,,,,,,,everything on which he lies seems too hard,,sprained and dislocated feeling. Soreness after overexertion,,cannot walk erect because of bruised pain in pelvic region,,,,,great fear of being touched or approched,,,,,,
Arsenicum Album,diabetic gangrene,,,,,,,,,,,,,,,,,,,,,,,,,,paralysis of lower limbs with atrophy,,sciatica,,,,,cramps in calves,,ulcers on heel,swelling of feet,,,,,"trembling, twitching, spasms, weakness, heaviness, uneasiness",,burning pains,,,,,,peripheral neuritis,,,,,,,
Arundo,,,,,,,,,,,,,,,,,,,,,,"itching, burning, oedema of hands and feet",,,,,,,,,,,,,,,copious and offensive sweat of feet,,burning and swelling of soles,,,,,,,,,,,,,,,,,,
Asafoetida,,,,,,,"darting pain and caries in bones. Ulcers affectinf bones. Thin, ichorus pus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"perioesteum painful, swollen, enlarged",,,,,,,,,,,,,,,
Asclepias Tuberosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rhematic joints give sensation as if adhesion being broken up on bending,,,,,,,,,,,,,
Asparagus Officinalis,,,,,,,,,,,,,,,"pain at acromium process of left scapula under clavicle down arm, with feeble pulse",,,,,,,,,,,rhematic pain in back especially near shoulder and limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astragalus Mollissimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icy coldness of left calf,,,purring sensation in right foot outer side from heel to toe,,,,,,,,,,,,,,,,,,,,
Aurum Metallicum,,,,,,,"destruction bones, like secondary syphilis. Exostosis carries worse night","orgasm, as if blood were boilling in all veins",,,,,,,,,,,,,,,,,,,all blood seems to rush from head to lower limbs. Dropsy,,,,,knees weak,,,,,,,,"paralytic, tearing pain in joints",,,,soreness of affected bones,,,,,,,,,,,,,
Avena Sativa,,,,,,,,,,,,,,,,,,,,,,strength of hands diminished,,,,,,,,,,,,,,,,,,,,,,"numbness of limbs, as if paralyzed",,,,,,,,,,,,,
Baptisia,,,,,,,,,,,,,,,,,"stiffness and pain, aching and drawing in arms legs",,,,,,,,,,,"pain in sacrum, around hips and legs",,,,,,,,,,,,,,,,sore and bruised. Decubitus,,,,,,,,,,,,,
Baryta Acetica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawing pain down whole left leg,,,,,,,,,,,crawling with burning stitches,,,,,,,,,,,,,
Baryta Carb,,pain in auxillary glands,swollen glands in nape of occiput,numbness of limbs,,,,,,,,,,,,,,,,,,,,,,,burning pain in lower limbs,,,,,numb feeling from knees to scrotum; disappears when sitting down,,,,,cold slammy damp sweaty unplesant feet. Fetid foot sweat,toes and soles sore,soles paiful when walking,pain in joints,,,,,,,,,,,,,,,,,
Belladona,shifting rheumatic pains,,,jerking limbs. Spasms. Shooting pain along limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"joints swollen, red, shining with red streaks radiating",,phlegmasia alba dolens.  Deep vein thrombosis cold extermities,,involuntary limping,,tottering gait,,,,,,,,,,,
Bellis Perennis,,,,,,musclar soreness,,,,,,,,,,,,,,wrist feels contracted as from elastic band around joint,,,,,,,,,,,itching on back and flexor surfaces of thighs. Pain down anterior front of thighs,,,,,,,,,joints sore,,sprains with great soreness. Railway spine,,,,,,,,,,,,,,,
Benzenum-Coal Naphtha,,,,heavy limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,exaggerated knee-jerk,,cold legs,,,,,,,,,,,,,pain from below upward,,,,,,,,,,
Benzoicum Acidum,rheumatic gout; nodes very paifull. Gouty deposits,,,,,,,,,,,,,,,,,,,ganglion; swelling of the wrist,,,,,,,,,,,,,,,,,,pain and swelling in knees. Bunion or lateral deviation great toe,,joints crack on motion,,tearing pain in great toe,,tearing with stitches,,,pain in tendo achilis,,,,,,,,,,
Berberis Vulgaris,"rheumatic paralytic pain in shoulders, arms, hands and fingers, legs feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense weariness and lameness of legs after walking short distance,,,"heel pain, as if ulcerated",stitching between metatarsal bones as from nail when standing,,,,,,,sensation of cold on outside of thighs,,pain in balls of feet on stepping,,,,"neuralgia under finger-nails, with swelling of finger-joints",,,,,,,
Betonica,,,,,,,,,,,,,,,,,,,,wrist drops,,,,,,,,,,,,,"pain in right popliteal space down leg, which feels paralysed",,,,,,,shooting pain in back of both wrists joints,,,,,,,,,,,,,,,,,
Bismuthum,,,,,,,,,,,,,,,,"paralytic weakness, especially right arm",,,,tearing in wrist,,cramps in hands and feet,tearing in tips of fingers under nails,,,,,,,,,,itching erosion near tibia and back of feet near joints,,,,,,,,,,,cold limbs,,,,,,,,,,,,,
Borax,,,,,,,,,,,,,,,,,,,,,,feeling as of cobwebs on hands,itching back of finger joints and hands ,eczema toes fingers with loss of nails,,,,,,,,,,,,pain in heel,,burning pain in great toe ,stitches in sole,,,inflamation of balls of toe,,throbbing pain in tip of thumb,,,,,,,,,,,,,
Bovista,,,,,,,,,,,,moist eczema on back of hands,,,,,,,,,,weariness of hands and feet,,,,,,tip of coccyx  itches intolerably,,,,,,,,,itching feet and legs,,,great weakness of all joints,,oedema in joints after fracture ,,,,,,,,,"clumsiness with her hands, drops things from hands",sweat in auxilae; onion smell,,,,,
Brachyglottis,,,,,,soreness extending along flexor corpi ulnaris,,,,,,,,,,,,,,,,,"cramps in fingers, thumb, and wrist when writing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryonia,,,,,,,,,,,,,,,,constatnt motion of left arm and leg,,,,,,,,,,,,,,,,knees stiff and painfull,,,,,hot swelling of feet,,,"joints red, swollen, hot, with stitches tearing; worse on least movment",,,,every spot is painfull on pressure,,,,,,,,,,,,,
Bufo,,,,numbness of limbs,,,swelling of bones,,,,,,,,,,,,,,,,,,pain in loins,,,,,,,,,,,,,,,,,,,feeling as if a peg were driven in joints,,"cramps, staggering gait",,,,,,,,,,,
Cactus Grandiflorus,,,,,,,,,,,,,,,,,numbness of left arm,,,,,hands soft; feet enlarged,,,,,,,,,,,restless legs,,,,oedema of hands and feet. Icy-cold hands,,,,,,,,,,,,,,,,,,,,
Calcarea Arsenica,,,,,,,,removes inflamatory product in veins of lower extermities,,,,,,,,,,,,,,,,,,,weariness and lameness of lower limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcarea Carbonica,"rheumatoid pains, as after exposure to wet",,,arthritic nodosities. Weakness of extermities,,"tearing in muscles, old sprains",,,,,,,,,,,,,,,,sweat of hands,,,,,,,,,,cold knees,,cramps in calves,,,cold damp feet; feel asif damp stocking were worn,,burning of soles of feet,swelling of joints especially knee,,sharp sticking as if parts wrenched or sprained,,"sour foot-sweat,  soles of feet raw",,,,,,,,,,feet feel cold and dead at night,,,
Calcarea Fluorica,,,,,,,exostoses on fingers,,,,,,,,,,,,,ganglia encysted tumor at the back of the wrist,,,gouty enlargement of finger joints,,,,,,,,rachitic enlargement of femur in infants,chronic synovitis of knee joints,,,,,,,,,,,,,,,,,,,,,,,,,
Calcarea Phosphorica,,,,,,,pains in joints and bones,,,,,,,,,,,,,,,,,,,"buttocks, back and limbs asleep",,,,,,,,,,,,,,,,"stiffness and pain, with cold, numb feeling, worse any change weather",,crawling and coldness,,weary when going upstairs,,,,,,,,,,,
Calcarea Sulphurica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burning-itching of soles of feet,,,,,,,,,,,,,,,,,,
Camphora,,,,,,,,,,,,,"rheumatic pain between shoulders, difficult movement",,,,,,,,,,,,,,,,,,,,,cramps in calves,,,"icy cold feet, aches as if sprained",,,cracking in joints,,,,"numbness, tingling and coldness",,,,,,,,,,,,,
Cannabis Indica,,,,,,,,,,,,,pain across shoulders and spine: must stoop,,,,,,,,,,,,,,entire paralysis of the lower extermities,,,,,sharp pain in knees and ankles,,,,,,,pain in soles and calves,,,,,,,"can not walk erect, very exhausted after a short walk",,,,,"thrilling through arms and hands, and from knees down",,,,,,
Cannabis Sativa,,,,,,,,,,,,,,,,,,,,,,,contraction of fingers after a sprain,,,,,,,,,dislocation of patella on going upstairs,,,,,feet feel heavy on going upstairs,affections of the ball of foot and under part of toes,,,,,,,,,paralytic tearing pains,,,,,,,,,,
Cantharis,,,,tearing in limbs,,,,,,,,,,,,,,,,,,,,,"pain in loins, with incessant desire to urinate",,,,,,,,,,,,,,ulcerative pain soles; cannot step ,,,,,,,,,,,,,,,,,,
Capsicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sciatica, worse bending backward",pain from hips to feet,,tensive pain in knees,,,,,,,,,,,,,,,,,worse coughing,,,,,,,,
Carbo Animalis,,,,,,,,,,,night sweat fetid and profuse,,,,,,,,,wrist pain,,,,,,,,,,pain in hip joints at night,,,,,ankles turns easily,,,,"joints weak, easy discoloration",,,straining and overlifting produce great debility,,,,,,,,,,,,,,,
Carbo Vegetabilis,,,,,,,burning pain in bones and limbs,,,,,,,,,,,,,,,,,,,,,,,,,cold from knees down,pain in shins leg tibia,,,,feet numb and  sweaty,"toes red, swollen",cramp in soles,joints weak,,"heavy, stiff; feel paralyzed",,"limbs, go to sleep: want muscular energy",,,,,,,,,,,,,
Carbolicum Acidum,arthritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gnawing pains in shin bones tibia,,,,,,,,,,,,,"cramps in fore part leg, close to tibia during walking",,,,,,,,,,,
Carbonium Sulphuratum,,,,"sore, bruised limbs, cramps in limbs",,,,,,,,,,,,,anasthesia (loss sensation) of arms and hands,,,,,herpes on dorsal back of hands,"fingers swollen, insensible, rigid, stiff",,,,"pain in lower limbs, with cramps and formication",,"sciatica, flying pains, returns regularly for long time",,,,,,,,feet insensible or senseless,,,,,"lightning-like pains, with cramps",,,,"gaits unsteady, tottering; worse in dark",,,,neuritis,,,,,,,
Carduus Marianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pain in hip-joint, spreading through buttocks and down thighs",,,,,,,"weakness felt in feet, especially after sitting",,,,,,,,,,,,"worse from stooping, difficult rising",,,,,,,,
Cascara Sagrada,,,,,,"rheumatism of muscle and joints, with obstinate constipation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caulophyllum,,,,,,,,,,,,,,,,,,,,aching in wrists,,cutting pain on closing hands,,,,,"severe drawing, erratic pain and stiffness in small joints, fingers, toes, ankles",,,,,,,,,,,,,,,"erratic pains, changing place every few minutes",,,,,,,,,,,,,,,
Causticum,,,,rheumatic tearing  in limbs: better wamth especially heat of bed,,,,,,"left sided sciatica, with numbness",,,,,,,dull tearing pain in hands and arms,,unsteadiness of  muscles of forearm and hand,,,numbness; loss of sensation in hands,,,,,,,,,,cracking and tension in knees; stiffness in hollow of knee,,,weak ankles,,itching on dorsum of feet,,,burning in joints,contracted tendons,"slow in learning to walk, unsteady walking easily falling",,"heaviness and weakness, tearing joints",,cannot walk without suffering,,,,,,,,restless legs at night,paralysis of single parts,,
Cedron-Simaruba Ferroginea,,,,,,,,,,,,"shingles, with painful rash with radiating pain",,,,,,,,,,"sudden pain in ball of right thumb, extending up arm to shoulder",,,,,,,,,,dropsy knee-joint,,,,,"sudden pain in the ball of right foot, extend to knee",,,"lancinating pain in joints;  worse, feet and hands",,,,,,,,,,,,,,,,,
Cereus Bonplandii,,,,,,,,,,,,,,,,,,,,,,,,,,"pain in neck, back, shoulders, down arms, hands and fingers",,,,,,pain in knees and joints of lower extermities,,,,,,,,,,,,,,,,,,,,,,,,,
Chamomilla,,,,,,,,,,,,,,,,,,,,,,,,,insuportable pain in loins and hips,,,,,,,,,,ankles give way in the afternoon,,nightly paralytic loss lower in feet unable to step on them,,burning of soles at night,,,,,,,compelled to walk about,,,,,,,,violent rheumatic pains drive him out of bed at night,,,
Chelidonium Majus,,,,,,whole flesh sore to touch,,,,,,,,,,,,,,wrists sore,,,icy coldness of finger tips,,,,paresis of lower limbs with rigidity of muscles,,,rheumatic pain in hips and thighs,,,,,,"intolerable pains in heel, as if pinched by too narrow a shoe; worse, night",tearing pain in metacarpal bones,,,,,,,feels paralyzed,,,"pain in arms, shoulders, hands, finger tips",,,,,,,,,,
Chimaphila Umbellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feeling of a band above left knee,,,,,,,,,,,,,,,,,,,,,,,,,
Chininum Arsenicosum,,,,,weak limbs,,,,,,,,,,,,,,,,,"coldness of hands and feet, knees and limbs",,,,,,,,,,,,,,,,,,,,,,,,,tearing pains,,,,,,,,,,
Chromicum Acidum,,,,,uneasiness in limbs,,,,,,,,pain in shoulder-blades and back of neck,,,,,,,,,,,,,,,,,,,pain in knees and balls of feet,,,,,,,drawing pain in soles when walking,,,,,,,,,,,,,,,,,,
Cimicifuga Racemosa,,,,jerking of limbs,"uneasy, restless feeling in limbs",aching in limbs and muscular soreness,,,"rheumatism affecting the belly of muscles, especially large muscles",,,,,,,,,,,,,,,,,,heaviness in lower extermities,,,,,,,,,"heavy, aching, tensive pain,  stiffness in tendo-achilles",,,,,,,,,,"choreic movements, accompanied by rheumatism",heavy aching tensive pain,,,,,,,,,,
Cina,,,,,"twitching and jerking distortion of limbs, trembling",,,,,,,,,,,child throws arms from side to side,,,,,,,sudden inward jerking of right hand fingers,,,,,,,,,,,,,,child stretches feet spasmodically,,,,,,,,,left foot in constant spasmodic movements,,,,,,,,nocturnal convulsions,"paralyzed shocks; patient jumps suddenly, as though in pain",,
Cinchona Officinalis,,,,sensation as of a string around limb,"pain in limbs and joints, as if sprained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"joints swollen; very sensitive, with dread of open air",,"averse to exercise; sensitive to touch, weariness of joints",,"great debility, trembling, with numb sensation",,,,relieves with hard pressure,worse on slight touch,,,,worse in the mornings and when sitting,,,,
Cinnabaris,,,,,,,,,,,,,,,,,,,"pain in forearm from elbow down, including hands",,,,,,,,,,,,pain in long bones when barometer lowers,,,,,,,,,coldness of joints,,,,,,,,,,,,,,,,,
Cistus Canadensis,white swelling,,,,,,,,,,,,,,,,,,,sprained pain in wrist,,tetter on hands,finger tips sensitive to cold,,,,"syphilitic ulcers on lower limbs, with hard swelling around",,,,,,,,,,cold feet,,,,,,,,,,,,,,,,,,,,
Cobaltum,,,,,trembling in limbs,,,,,,,,,,,,,,,aching in wrist-joints,,,,,,,,,,,shooting into thighs from liver,weak knees,,,,,tingling in feet,"foot sweat, mostly between toes",,,,,,,,,,,,,,,,,,,
Cocculus,,,,,"limbs strightened out, painfull when flexed",,,,,,,,,,,,arms go to sleep,,,,,hands are alternatly hot and cold,,,,,lower limbs very weak,,,,,"knees crack on movements, inflamation swelling of knee",,,,,,,,,,numb and unsteady,,"numbness and cold sweat now of one, one after another hand",,,trembling and pain in limbs,,lameness; worse by bending,,,,,,"one-sided paralysis; worse after sleep, drawing painfull",,
Coffea Cruda,,,,,,,,,,,,,,,,,,,,,,,,,,,crural thigh leg region neuralgia pain,,,,,,,,,,,,,,,,,,,,,better by pressure,"worse, movements, afternoon and night",,,,,,,,
Colchicum,,,,"limbs, lame, weak, tingling","tearing in limbs during warm weather, stinging during cold",,,,,,,,,,,,sharp pain down left arm,,,pins and needles in hands and wrists,,,finger tips numb,tingling in the finger nails,,,,,,,pain in front of thigh,"knees strike together, can hardly walk",oedematous swelling and coldness of legs and feet,,,,right plantar (botom foot) reflex abolished,inflamation of great toe,"gout in heel, cannot bear to have it touched or moved",joints stiff and feverish,,,,,,,pain worse in evening and warm weather,,,,,,,shifting rheumatism; pain worse at night,,,
Colocynthis,,,,,all limbs drawn together,contraction of muscles,,,,,,,pain in right deltoid,,,,,,,,,,,,,,,,"sciatica pain, left side, drawing, tearing ",cramp-like pain in hip,pain down right thigh; muscles and tendon feel too short,pain from hip to knee,,,,,,,,stiffness of joints and shortening of tendons,,spontaneous luxation (dislocation) of hip-joints,pain in left knee joint,numbness with pain,,,,better with pressure and heat ,worse on gentle touch,,,,,,,,
Conium,,,,,,,,,,,,,,,,,,,,,,"sweating, perspiration of hands",fingers and toes numb,,,,muscular weakness especially lower extermities,,,,,,,,,,putting feet on chair relieves pain,,,,,,,,,,,,,,,,,,"heavy, weary, paralyzed; trembling; unsteady hands",,
Convallaria Majalis,,,,,,,,,,,,,,,,,,,,,,trembling of hands,,,,,,,,,,,aching of legs and in big toe,,aching in wrists and ankles,,,,,,,,,,,,,,,,,,,,,,
Cotyledon,,,,,,,,,,,,"skin sensitive, rubbing of trousers causes acute sting",,,,,,,,,,,,,,aches in back and thighs,,,,,,,legs and arms feel heavy and sore,,,,,,,,,,,,,,,,,,,,,,,,
Crocus Sativa,,,,,,spasmodic contraction and twitching of single set muscles,,,,,,,,,,whole upper extermity falls asleep,,,,,,,,,,,,,,crackling in hip joint and knees,,,weakness in legs and knees,,,,,,pain in ankles and soles,,,,,,,,,,,,"chorea and hysteria, with great alterations of feeling",,,,,,
Crotalus Horridus,,,,,,,,,,,,,,,,,,,,,,"hands tremble, swollen",,,,,lower extermities go to sleep easily,,,,,,,,,,,,,,,,,,,,,,,,,,,,right-sided paralysis,,
Cuprum Arsenicum,,,,,,,,,,,,ulcers; gangrene,,,,,,,,,,,,,,,,,,,,,,"cramps in calves of legs, worse after midnight ",,,,,,,,,,,,,,cramps only relieved by getting out of bed and standing,,,,,,,,,
Cuprum Metallicum,,,,,great weariness of limbs,"jerking, twitching of muscles",,,,,,,,,,,,,,"coldness of hands, cramps in palms",,,"clonic spasms, beginning in fingers and toes",,,,,,,,,epilepsy; auro begins in knees,,cramps in calves and soles,,,,,,,,,,,,,,,,,,,,,,,
Curare Woorari,,,,,,,,,,,tired pain up and down spine,favors development of corns,,,,,"arms weak, heavy",,,,,weakness of hands fingers in pianists,,,,,,,,,,,legs tremble; give way in walking,,,,,,,,,reflexes lessened or abolished,,,,,,,,,,,,,debility; paralysis,"catalepsy (seizure, loss conciousness with rigidity in the body)",
Cyclamen,chilblains,,,,,,pain in periosteum,,,,,,,,,,,,,,,,cramp-like contraction right thumb and index finger,,,,,,,,,,,,,"burning, sore pain in heels",,,,,,,,,,,pain in parts where bones lie near surface,,,,,,,,,,
Daphne Indica,,,,,,,,,pain shoots upward into abdomen and heart,,,,,,,,,,,,,,,,,,,cold feeling on buttocks,,,,rheumatic pain in thighs and knees,,,,,"right toe swollen, painfull",,,,,,,,,,"shooting pains, shift rapidly; worse, cold air",,,,,,,,,,
Digitalis,,,,,,muscular debility,,,,,,,,,,,,,,,,coldness of hands and feet,nocturnal swelling of fingers,,,,,,,,,,,,,,,,,"rheumatic pain in joints, shining white swelling of joints",,,,sensation in legs as if red hot wire suddenly darted through them,,,,,,,,,,,,,
