DRUG,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,,TEMPROL,,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,,EYE,,DAY,NIGHT,MIND,STOOL,SENSATION,FEMALE,SCALP,VERTIGO2,TONGUE,,SLEEP,THROAT,HEART,DISEASE,,,SWEAT,STOMACH,EXTERMITIES
FicusReligiosa,vertigoSlightHeadache,,meloncholicQuite,,,,,burning,,vertigoSlightHeadache,,brainVetigoHeadache,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FluricumAcidum,pressureSidesWithInOutward,,,,,,,,worseWarm silicWorseCold,,,AlopeciaOssicleMastoidSkinHeadSidesExostosis,,,,,AlopeciaCarriesSkinOssicleMastoidCopiousDischargeExostosis,,,,,,,,,,,AlopeciaSkinCarries,,,,,,,,,,,,
Formalin,,,,,,,,,,vertigo,,noseEyesVertigo,,CoryzaEyesWatery,,,,,,eyesWatery,,,,,,,,,,,,,,,,,,,,
FormicaRufa,,,feelsHeavyAndLarge,SensationAsifBubleBurst,,,,,,vertigo,,brainEarVertigoNoseRhIritisEvening,,CoryzaStuffyPolypi,,,Exhillarated,,,,,,,,,,,,,,,,,,,,,,,
FraxinusAmericana,,throbbPainBackHead,depressionWithNervousRestlessness,,,,,HotSpotOnTopHead,,,,,,,,,,,,,,,,Anxiety,,,,,,,,,,,,,,,,
GallicumAcidum,,painBackHeadAndNeck,,,,,,,,,,occiNoseEyeLid,,thickStringyDischarge,,,,,,photophobiaWithBurningLids,,,,,,,,,,,,,,,,,,,,
GambogiaGarciniaMorella,heavyWithInertiaAndDrowsy,,,,,,,,,,,EyesLidsNose,,lidsStickTogetherWithSneezing,,,,,,itchBurnLidsStickTogetherWithSneez,,,,,,,,,,,,,,,,,,,,
Gaultheria,neurolgiaHeadAndFace,,,,,,,,,,,HeadFace,,,neurolgiHeadAndFace,,,,,,,,,,,,,,,,,,,,,,,,,
Gelsemium,,heavynessAroundOcciput,,,,painTempExtendWingNoseChin,,,betterpressHeadHigh,spreadFromOcci,,wingsEyeOcciTempScalpSleepUrination,wantsHeadRisedOnPillow,,,,withMuscularSoreNeckAndShoulder,,,precededByBlindnessBetterProfuseUrination,,,,,,,,soreToTouch,,,,deliriousOnFallingAsleep,,,,,,,,
GentianaLutea,,,BrainFeelsLooseHeadTender,betterEatingAndOpenAir,,,,,,worseRisingOrMotionopenAirBetter,,FHEyeBrainEatOpenAir,,,,,,,,AcheEyes,,,,,,,,,,,,,,,,,,,,
GeraniumMaculatum,SickHeadache,,,,,,,,,giddyWithDiplopiaBetterCloseEye,,GiddyPupilEyeHeadache,,,,,,,,ptosisAndDilatedPupils,,,,,,,,,,,,,,,,,,,,
Ginseng,SemiLateralHeadache,occi,,,,,,,,withGraySpotBeforeEye,,semilateralOcciGiddyLidsVission,,,,,vertigoSemilateralOcciDifficultOpenLids,,,EyeObjectDoubleDifficultLidsOpen,,,,,,,,,,,,,,,,,,,,
Glonoine,throbbAngioSpasticNeurolgia,,heatFeelLargeAsifSkullSmallForBrain,,,,,,betterUncouerHead,congestdizzyUprightPosition,,headSunheatFaceVertigoRushbloood,,,angiospasticNeurolgiaHeadFace,,SunStrokeHeatOnHeadCannotBearAnyHeatOnHead,,,,,,,thretendMenengitisApoplexy,,increseDecreaseWithSun,headacheInplaceMensesRushbloodHeadInPregnent,,,,,,,,,,,,,
Glycerinum,severeTwoDaysBeforeMenses,occiputFeelsFull,mentallyConfusedFeelsFullThrob,,,,,,,,,,,,,,,,,,,,,,,,TwodaysBeforeMensesSevereHeadache,,,,,,,,,,,,,
Gossipium,NeckpainCervicalTendToHead,,,,,,,,,,,cervicalHead,TendencyToDrawBack,,,,painNecktendencyToHeadToDrawBackWithNervous,,,,,,,,,,,,,,,,,,,,,,,
Granatum,feesEmpty,,,,,,,,,vertigoPersistent,,,,,,,,,,SunkenEyePupilDilateSightWeak,,,,,,,,,,,,,,,,,,,,
Graphitis,wakeMorningOnesideInclineVomit,,,sensationCobweb,,,,burningOnVertex,,,inclineVomitOnWakingMorning,vomitMorningWakeFhOneSideTeethNose,,nosebleedWithDistensionFlatulence,RushBloodFlushedNosebleed,,catalepticCondition,RhPainOneSideExtendTeethNeck,,,,morningOnWakeOnOnesideInclieVomiting,,,,feelsNumbAndPithy,,humidItcheruptScalpFetidOdor,,,,,,,,,,,,
Gratiola,sickHeadache,,SensationAsifbrainContractAndHeadBecameSmaller,TightnessFHwithWrinkleInSkin,,,,,,,,MyopiaRushbloodeyemyopia Fhbrain,,,,,,,,rushbloodVanishSightDryBurnMyopia,,,,,,,,,,,,,,,,,,,,
Grindelia,feelfullAsfromQuinine,,painEyeballsRunBackBrainWorseEyeMove,,,,,,,,,BackbrainEyeballsPupilIris,,,,,purulentOptholmiaAndIritis,,,eyeballpainBackbrainWorsemovePupilDilate,,,,,,,,,,,,,,,,,,,,
Guaco,headacheRedface,,,,,,,,,,,faceTongueHeavyMove,,,headacheRedface,,,,,,,,,,,,,,,HeavyAndDifficultyMovingTongue,,,,,,,,,,
Guaiacum,goutyRhpainExtendFaceNeck,,painEndinStitchEspecialyInHead,,,,,,worseColdWetWeather,,,RhGoutyNeckEarwetweather,,,,achingLeftEarPainOftenEndInStitchEspHead,tearingPainSkullPainEndinStitchEspInHead,,,,,,,,,feelSwollenBloodVesselDistended,,,,,,,,,,,,,,
Guarea,,,sensationAsifBrainfallFarwardAsfromblowOnHead,,,,,,,,,sensationfallfarwardBlow,,,,,,,,,,,,,,fallfarwardAsfromblowOnHead,,,,,,,,,,,,,,
Haematoxylon,feelConstrictHeavyHot,,,,,,,,,,,constrictEyelid,,,,,,,,eyelidsHeavy,,,,,,,,,,,,,,,,,,,,
Hamamalis,,,,numbOverFrontalBone,,feelAsifboltFromTempleTotemple,,,,,,templeNoseEpistaxis,,fullnessFollowEpistaxix,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedeoma,,,weakFaintBetterLyingdown,,,,,,,,,PainSoreCutWeak,,,,,,,,,,dullHeavyFeelMorning,,,,sorepainAsfromCut,,,,,,,,,,,,,,
Helleborus,stupyfyheadache,dullpainOcciSensWaterSwashInside,moaningSuddenScreems,foreheadWrinkledInFolds,,,,,,,headacheCulminatesVomiting,FHocciDayNighthandsVomit,boresHeadIntoPillowBeatItWithHand,,,,coldsweat,,,,,RollsHeadDayNightMoneScream,,,,,,,,,,,,,,,,,,
Heloderma,,painstartRtEarExtBackhead,veryDepressedAsifFallRtSide,,,,,,,,,,,,,painBeginRtEarExtRoundBackheadLtEar,sensationAsifWouldFallRtSide,,,eyeLidsHeavy,,,,,,coldbandAroundColdPressureWithinSkull,,,,,,,,,,,,,,
Helonias,,,headacheBetterMentalExertion,,,,,BurningSensationOnTop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeparSulphurisCalcarium,coldSweatOnhead,,,,,borinPainRtTempRootNoseMorning,,,,vertigoAndHeadacheRidingShaking,,,,painRtTempAndRootNoseEveryMorning,,,humidScaldheadItchAdBurn,,,,,,,,,,,sensitiveAndSore,,,,,,,,,,coldSweatOnHead,,
HeracleumBrancaUrsina,sickheadache,,,,,,,,betterTyingCloth,,,tieupClothSweatScalpHead,,,,,,,,,,,,,,,,seborrhoeaCapitis,,,,achesWithDrowsyWorseMoveOpenAir,,,,,,muchFttySweatHeadViolentItch,,
HippuricAcid,,,,,,,,,worseWarmRoom ,,,Eye,,,,,,,,painRtEyelidInflameSwolenWorseWarmRoom,,,,,,,,,,,,,,,,,,,,
Hydrastis,,,,dullPressingConectConstipateFH,,,,,,,,FHeczemaContipateNeckScalpNose,,sinusitisAfterCoryza,eczemaFHalongHairline,,MylagicpainScalpAndNeckMuscle,,,,,,,,frontalpainEspConectConstipation,,,painScalpNeckMuscle,,,,,,,sinusitisAfterCoryza,,,,,
HydrocyanicAcid,stypefyingViolentHeadache,,brainFeelsOnFire,,,,,,,,,headFaceOrbitPupilBrain,,,supraOrbitNeurolgiaFlusSamesideface,,,,,pupilDilatMotinoless,,,,,,,,,,,,,,,,,,,,
Hydrphobinum,chronicHeadchae,,LyssphobiaFearBecomingMadeEmotionNewsAggravte,boriningPainFH,,,,,,,,FHLyssophobiaHyperSense,,,,,,,,,,,,emotionNewsThinkingFluidsAggravate,,hypersensitivenessOfAllSenses,,,,,,,,,Lyssophobia,,,,,
Hyoscyamus,headShakeToAndFro,,inflamationBrainWithUnconciousness,,,,,,,vertigoAsifIntoxicated,,headBrain,,,,,,,,,,,,feelLightAndConfused,,,,,,,,,,,,,,,,
Hypericum,heavyFeelTouchIcyColdHead,,brainSeemsCompresed,,,,,throbbingVertexWorseWarmRoom,,,,brainVertexFaceEyeToothSkullHair,,,RtSideFaceAches,,InFracturedSkullBoneSplinters,facialnerolgiaTootachePullTearSadness,,painInEyesAndEars,,,,brainFogNeurastheniaBrainfeelAlive,,headFeelLongerElongatedToPoint,,HairFall,,,,,,,,,,,,
Iberis,,vertigoAsifOcciputTurningAround,,,,,,,,vertigAndPainAroundHeart,,,,,HotFlushed,,,,,eyeFeelForcedOutward,,,,,,ConstantHawkThicStringMucusUntillAfterMeal,,,,,,,,,,,,,,
Ichthyolum,DullAchebetterColdPressure,,,dullFrontalSupraOrbital,,,,,worseMoveeyeColdairbetterWarmth,,,dullFHsupraOrbitalEye,,,,,,,,frontalSupraorbitalHeadache,,,,,,,,,,,,,,,,,,,,
Ignatia,headacheCongestFollowangerGrief,,,,,AsifNailDrivenOutThroughSides,,,worseSmokeSmellTobacoInclineHeadFarward,,,mindCongestTemple,inclineHeadForward,crampLikePainOverRootNose,,,,,,,,,,congestheadachefollowFearAnger,,,,,,,,,,,,,,,,
Indigo,,,sensationAsifBrainFrozenheadFeelFrozen,sensBandAroundForehead,,,,hairFeelsPulledFromVertex,,vertigoNausea,,brainVertexHairNightVomit,,,,,convulsion,,,,,,GloomyCryAtNight,,,undulatSensationthroughWholeHead,,,,,,,,,,,,,,
Inidium,burstingDuringStool,,,dullPainFHandTempnauseaWeaknessSleepy,,dullPainFHandTempnauseaWeaknessSleepy,,,,,nausea weaknessSleepy,stoolFHTempStoolNauseaStomach,,ViolentAttackOfSneezing,,,sexualPsycopathy,,,,,,,,painHeadAtStrainingStool,,,,,,,,,,,,,,goneFeelInStomach11AM,
Indol,,dullOcciAndFrontalAfternoon,,FHAndOcciAfternoon,,,,,,,,FHocciEyeballsPupilsAfternoon,,,,,dullSenseyeEyeballsHothurtOnMove,,,pupilDilateWithheadacheDullsenshotHurtMove,,FrontAndOcciHeadacheAfternoon,,,,,,,,,,,,,,,,,,
Inula,throbbingAfterEating,,,pressureTempleAndForehead,,pressureTempleAndForehead,,,,vertigoOnStooping,,FHTempleEatingthrobVertigoStoopig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iodoformum,sharpNeurolgicpainMeningitis,itchOcciput,,,,,,,,,,nerolgiaHeavyOcciSleepMeningitis,heavyAsifcouldnotLiftFromPillow,,,,,,,,,,,,,headfeelHeavyAsifCouldnotLiftFromPillow,,itchingOcciput,,,,interuptedBySighingAndCriesVerydrowsy,,,meningitis,,,,,
Iodum,ChrHeadacheOldpeople,,,,,,,,,worseStoopInWarmRoom,,ChrOldpeoplebandVertigoblood,,,,,,,,,,,,,,ThrobbRushbloodFeelTightBand,,,,,,,,,,,,,,
Ipecacuanha,AsifSkullboneCrushed,,,,,,,,,,,skullboneTeetRootTongue,,,,,,painExtendsTeethRootTongue,,,,,,,,feelSkullboneCrushedOrBruisedpainExtend,,o,,painExtendsTeethAndRootTongue,,,,,,,,,,
Iridium,woodenyFeelRtSideHead,,difficultConcentrationThought,,,,,,,,,RtSideHeadScalpNoseMind,,profuseWateryCoryzaBetterIndoorOzaena,,,,,,,,,,SensAsifMindVoidThoughConfused,,WoodenyFeelRtSideHead,,RtSideScalpSensitive,,,,,,,,,,,,
IrisVersicolor,sickHeadacheWorseRest,,,FHwithNausea,,RtTempleEspAffected,,,sickheadacheWorseRest,,FrontalheadacheWithNausea,headMindRtTempFHscalpEyeNausea,,,,,,,,headacheBeginsBlurEyes,,,,beginBlurEyeafterRelaxAftermentalStrain,,,,feelConstrictPustularEruption,,,,,,,,,,,,
Jacaranda,coryzaWithHeavyHead,,,VertigoRiseWithHeavyForehead,,,,,,vertigoOnRisingHeavyFH,,vertigoFHeyeNose,,CoryzaWithHeavyHead,,,,,,eyesPainInflamedAndWatery,,,,,,,,,,,,,,,,,,,,
JonosiaAsoca,unilateralHeadache,,,,,,,,,,,UTeyesNoseUnilateralHeadache,,catarrahProfuseWaterylossSmell,,,reflexUtHeadacheBetterOpenairAndFreeflow,,,painEyeballsSupraOrbitPainPhotophobia,,,,,,,UtCongestheadacheBetterfreeflow,,,,,,,,,,,,,
JuglansCinerea,dullFullHead,sharpOccipitalHeadache,,,,,,,,,,dullheadEyelidOcciscalp,,,,,,,,pustulesOnLidsAndArroundEyes,,,,,,headFeelsEnlarged,,EruptionOnScalp,,,,,,,,,,,,
JuglansRegia,,OccipitalSharpPain,,,,,,,,,,OcciEyeMind,,,,,,,,styes,,,,cofusedFeelAsifHeadWereFlowingInAir,,,,,,,,,,,,,,,,
JusticiaAdathodaBasaka,HotFullHeavyHeadCoryza,,,,,,,,,,,headEyeNoseTasteCoughsmell,,lacrymatCoryzaFluentSneezConstant,,,CoryzaWithCoughLossSmelTaste,,,lacrymatWithConstantCoryza,,,,,,,,,,,,,,,,,,,,
KaliBichromicum,semilateralSmallSpot,,,frontalPainUsuallyOverOneEye,,,,,,withNauseaRisingFromSeat,VertigoWithNauseaRiseFromSeat,vertigoNauseaSpotEyeNoseFaceHeadlateral,,semilateraAcheSmallSpotSuppressedCatarrah,AchingFullnessGlabella,,,,,headacheEyebrowPrecededBluredVision,,,,,,boneAndScalpFeelSore,,,,,,,,,,,,,,
KaliBromatum,numbFeelHead,,brainFag,,,,,,,,,brainNoseThroatSensFaceHead,,coryzaTendecyToExtendToThroat,faceFlushed,,,,,,,,,,,numbFeelInHead,,,,,,,coryzaTendencyExtendToThroat,,,,,,,
KaliCarbonicum,fromRideColdWindHeadacheWithYawning,AchingOnesideWithNauseaRideCarriage,,,,StitchTempleAcheOcci,,,FomRidingColdWind,vertigoOnTurning,occiOnsidedWithNausea,RideColdYawnOneSideTempOcci,,,,,DrynessHairfallHeadacheComeWithYawningRideInCold,,,,,,,,,LooseFeelingInHead,,drynesshairHairfall,,,,,,,,,,,,
KaliHydriodicum,ViolentPainThroughSidesHead,,BrainFeelEnlarged,,,,,,,,,CraniumLumpSidesNoseEyesFaceJaw,,painOverEyeAndRootNoseOverEyes,FacialNeurolgiaLancinatingPainUpperJaw,,craniumSwellupHardLumpHardNodesWithSeverPain,,,painIntenseOverEyesAndRootNose,,,,,,,,,,,,,,,,,,,,
KaliMuriaticum,headacheWithVomiting,,imagineHeMustStarve,,,,,,,,headacheWithVomiting,headVomit ScalpStarve,,,,,,,,,,,,imagineHeMustStarve,,,,crustalacteaDandruff,,,,,,,,,,,,
KaliNitricum,headacheWithVertigo,,Ennui,,,,,,,headacheVertigoFallRightsideBackwards,,FallRtBackScalpVomitStoopEnnui,worseStooping,,,,,,,,,,,Ennui,,,,ScalpVerySensitive,,,,,,,,,,,,
KaliPhosphoricum,,headacheBetterAfterRising,,,,,,,headacheBetterGentleMotion,fromLyingStandingStandsitLookup,,mindOcciGonefeelVertigo,,,,,studenHeadaceByFatgue headacheRelivedMotion,,,,,,,emtyGonefeelWearFtigueEmpty,,,,,,,,,,,,cerebralAnemea,,,withWearyEmptyGonefeel,
KaliSilicatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaliSulphuricum,RhHeadacheEvening,,,,,,,,,,,RhHeadacheScalp,,,,,,,,,,rRhHeadacheBeginEvening,,,,,,baldspotDandruffScalhead,,,,,,,,,,,,
KalmiaLatifolia,cardiacOriginHeadache,,confusion,painFrontTempHeadToNapeTeeth,,cardiacOriginPainFrontTemp,,,,worseStoopingVertigo,,cardiacOriginFHtempTeethNape,,,,,painFrontTempHeadToNapeAndTeethCardiacOrigin,painFromHeadToTeethNape,,,,,,,,,,,,,,,,cardiacOriginHeadache,,,,,,
Kreosotum,dullPain,OccipitalPain ZincGelsPic,,dullpainAsBoardPressAgainstFH,,,,,,,,OcciFhFemaleSensation,,,,,,,,,,,,,,asfromBoardPressAgainstForehead,menstrualHeadache,,,,,,,,,,,,,
Laburnum,,,StupificationIndiffrenceAcphos,,,,,,,constantVertigoGiddyintenseSleep,,sleepPupilsFaceStupifMind,,,twitchFacialMuscleAgaric,,,,,unequallyDilatePupils,,,,,,,,,,,,intenseSleepiness,,,hydrcephalus,,,,,
LacCaninum,PainFirstOnesideThenOtherside,occiShootingpainExtendFH,AsifBrainwereAlternatlyCotractedOrRelaxed,OcciPainExtendToFH,,,,,,,nauseaVomitingAtHeightOfVomiting,sensEyeEarEyeSidesHeightFH,AtHeightOfPositionHeadache,,,noisesReverberationOfVoice,,,,blurredvisionNauseavomiting,,,,sensationWalkOrFloatINair  STICTA,,,,,,,,,,,,,,,,
LacDefloratum,FHocciputMorningRising,,,FHtoOCCIRisingMorning,,,,,worseNoiseLightMotionMenses,,intenseThrobbWithNauseaVomiting,FHocciStoolEyeMroniBandageFemale,,,,,throbbNauseaVomitBlindConstpate,,,blindnessAndObstinateConstpate,,painFHtoOcciRisingMorning,,despondent,BlindnessAndObstinateConstipation,betterbandagingTightlyAndPressure,duringMensesWithGreaprostration,,,,,,,,,,,,,
Lachesis,painthroughOnAwakeWaveOfPain,,,,,,,pressureAndBurningVertex,wavePainWorseMoving,vertigo,,onsetDishargeHeadSunFemaleNose,,ReliefOnsetDischargeNaselCatarrahMenses,veryPaleFace,,sunHeadache,,,withheadacheFlickeringDimVision,,SunHeadache,,,,,ReliefOnsetDischargeMensesNasalDischarge,,,,,,,,,,,,,
Lachnantes,RtSidePainExtendJaw,,,,,,,,,,,sidesNosepalmsSoleScalpSleepJawFace,,bridgeNoseFeelAsifPinchedScal,circumscribedRedcheeks,,,,,,,,,,,headFeelsEnlargedWorseLeastNoise,,feelSoreAsifHaiaStandOnEnd,,,,sleepless,,,,,,,,BurningPalmsAndSoles
LactucaVrosa,headacheWithRespiratoryOrgans,,dullHeavyConfusedDizzy,,,,,,,,,FaceRespiratoryHead,,,faceheatHeadacheWithGeneralColdness,,,,,,,,,,,,,,,,,,,,,,,,,
Lamium,,,,,,,,,,,,FarwardBackwardFemale,headacheForwardBackwardMotionhead,,,,,,,,,,,,,,leucorrhoeaMensesScantyEarly,,,,,,,,,,,,,
LatrodectusMactans,,painNeckAndBackheadOcciPain,,,,,,,,,,mind neckOcci,,,,,,,,,,,,AnxietyScreemsWithPain,,,,,,,,,,,,,,,,
Lecithin,,AchesEspOcciputPulsatRingEars,,,,,,,,,,occiEarFaceZygoma,,,palePainZygomaRingingEarsPulsate,,,,,,,,,,,,,,,,,,,,,,,,,
Ledum,distressHeadCovered,,,,,,,,,whenWalkTendFallOneside,,,,noseBleed,,,,,,,,,,distressHeadCovered,,DistressWhenHeadCovered,,,,,,,,,,,,,,
Leptandra,,,,dullFrontalPain,,,,,,vertigoDrowsyDepression,,FHvertigoEyessleepMind,,,,,,,,smartingAchingInEyes,,,,drowsyDepressVertigo,,,,,,,,vertigoDrowsyDepression,,,,,,,,
LiliumTigrinum,HotDullHeavyFaint,,,,,,,,FaintWarmRoom,,,ModalitySensationHead,,,,,,,,,,,,,,WildFeelinInHead,,,,,,,,,,,,,,
Limulus,,,DepressionDifficultRememberNames,,,,,,,,,brainMindLteyeFace,,,confusedWithHeatBloodrush,,,,,painbehindLefteyeball,,,,worseWhenMeditating,,,,,,,,,,,,,,,,
LithiumCarbonicum,headacheCeasesWhileEating,,tensionAsifBoundBetterSittingGoingout,,,,,,,,,heartcheeksFaceBrainSensEarHead,,,bothcheeksCoveredDryBranLikeScales,DizzyStatesWithRingingEars,,,,,,,,,,extreemlySensitive TrembleThrobbing,,,,,,,,painheartExtendHead,,,,,,
LobelliaInflata,GastricHeadacheNauseaVomiting,,,,,,,,,vertigoWithFearOfDeath,gastricHeadacheNauseaVomit,fearGastricheadacheDayNight,,,,,,,,,,worseAfternoonUntillMidnight,,andProstrationGastricHeadache,,DullHeavyPain,,,,,,,,,,,,,,
LobeliaPurpurascens,Headheavy,,,,,,,,,headacheaWithNauseaVertigo,nauseaVertigoEspEyebrowBtween,mindVomitEyesHead,,,,,spasmodicClosureLids,,,cannotKeepEyesOpenSpasmodicClosure,,,,confusedDepression,,,,,,,,,,,,,,,,
LoliumTemulentum,,,,,,,,,,vertigoMustCloseEyes,,mindVertigoEyesEars,,,,NoiseInEars,,,,,,,,AnxiousDepressedConfused,,headHeavy,,,,,,,,,,,,,,
LoniceraXylosteum,,,congestHeadAndChestCOMA,,,,,,,,,headChestEyesPupilFace,,,RedFace,,,,,contractOnePupilDilateOtherhalfOpenSopor,,,,,,,,,,,,,,,,,,,,
LupulusHumulus,dullHeavyDizziness,,,,,,,,,,,mindDizzyTwitchAssociatesymp,,,,,DrawingTwitchingEveryMuscle,,,,,,,morbivigilenceHighlyExcited,,,,,,,,,,,,,,,,
Lycopodium,IfnotEatRegularlyHeadache,tearingBetterFreshAir,,deepFurrows,,asifScrewedEachother,,pressingWorse4pm8pmAndLyeStoop,,morningOnRising,,frontOcciTempTopHairBaldEarEye,,,TwistFaceMouth,eczemamoistOozingBehindEars,throbHeadacheOnCough,,,headacheOvereyesInColdBetteruncover,,,,,,ShakesHeadNocause,,greyhairPrematureBaldness,,,,,,,,,,,headacheIfNotEatingRegularly,
LycopusVirginicus,,,,frontalHeadache,,,,,,,,frontEminenceHeatrNose,,noseBleed,,,,,,,,,,,,,,,,,,,,worseFrontEminenceByLaboredHeart,,,,,,
MagnesiaCarbonica,painSideliesOnStickpain,,,,,,,,,,,SideMindRtorbitEyeDampScalp,,,,,painWhichSideLiesAsifHairpulled,,,painAboveMarginRtOrbitBlackMotes,,,,worseMentalExertion,,sidepainAsifHairPulled,,itchScalpWorseDampWeather,,,,,,,,,,,,